id,term,category,definition,aliases
term.2_1,2+1,Other,A property system in Singapore representing 2 bedrooms with a servant’s room or a study room. Generally budget-friendly.,
term.4_1,4+1,Other,This system comprises 4 bedrooms and 1 study or servant’s room. Usually the largest unit in the development.,
term.additional_buyer_s_stamp_duty_absd,Additional Buyer’s Stamp Duty (ABSD),Tax&Duty,"A tax imposed on owners in Singapore when they purchase additional properties, paid in addition to Buyer’s Stamp Duty.",ABSD (Additional Buyer’s Stamp Duty)|Additional Buyer’s Stamp Duty|ABSD
term.agent,Agent,Other,Typically refers to individual Real Estate Salespersons (RES) but also officially refers to real estate companies.,
term.bankruptcy_search,Bankruptcy Search,Other,"A search made by conveyancers to check whether a buyer or borrower has been, is, or is about to be declared bankrupt.",BS
term.black_and_white,Black and White,PropertyType,"Houses in Singapore dating back to hundreds of years in history, representing the typical bungalow kind of houses that offer insight into the city’s colonial past.",BW
term.build_to_order_bto,Build-To-Order (BTO),HDB,A category of brand new flats built by the Housing and Development Board (HDB).,BTO (Build-To-Order)|Build-To-Order|BTO
term.bungalow,Bungalow,PropertyType,"Huge properties in Singapore, often 2 to 3 stories high, undergoing transformations to meet the needs and tastes of the people. Buyer’s Stamp Duty (BSD) Rates:",
term.first_180_000,"First $180,000",Other,1%,
term.next_180_000,"Next $180,000",Other,2%,
term.next_640_000,"Next $640,000",Other,3% (residential and commercial property),
term.remaining_amount,Remaining Amount,Other,4% (residential property only),RA
term.comparative_market_analysis_cma,Comparative Market Analysis (CMA),MarketMetric,A report on the value of a home compared to others offered on the current property sales market.,CMA (Comparative Market Analysis)|Comparative Market Analysis|CMA
term.council_for_estate_agencies_cea,Council for Estate Agencies (CEA),Agency&Authority,A government statutory board overseeing and regulating the real estate industry to protect consumers.,CEA (Council for Estate Agencies)|Council for Estate Agencies|CEA
term.community_care_apartment,Community Care Apartment,Other,Senior-friendly housing with specific features.,CCA
term.condo,Condo,PropertyType,"Short for condominium, a form of housing where a part of real estate is owned individually, with access to common facilities.",
term.central_provident_fund_cpf,Central Provident Fund (CPF),Other,A social security savings scheme in Singapore used to fund home purchases.,CPF (Central Provident Fund)|Central Provident Fund|CPF
term.certificate_of_statutory_completion_csc,Certificate of Statutory Completion (CSC),Legal&Docs,Issued by the building authority denoting legal completion of a building after the Temporary Occupation Permit.,CSC (Certificate of Statutory Completion)|Certificate of Statutory Completion|CSC
term.development_charge_dc,Development Charge (DC),Tax&Duty,Paid when a proposed development increases the value of a freehold property.,DC (Development Charge)|Development Charge|DC
term.decoupling,Decoupling,Tax&Duty,Selling shares of a property to a single owner to purchase more properties without paying ABSD.,
term.default,Default,HDB,"Occurs when a debtor has not met its legal obligations according to the debt contract, either unwilling or unable to pay their debt.",
term.deferred_payment_scheme_dps,Deferred Payment Scheme (DPS),Other,"A form of progress payment allowing property buyers to defer the bulk of the purchase payment to a later date, requiring a bank loan at the point of purchase.",Deferred Payment Scheme|DPS
term.district_9_10_and_11,"District 9, 10, and 11",Other,"Leading residential areas for expatriates, no longer in use but known for properties like Pandan Valley, The Duet, Robertson Blue, Tanglin Park, etc.",
term.diplomatic_clause,Diplomatic Clause,Legal&Docs,"Implies that a tenant can terminate the tenancy with early notice only after the completion of the first twelve months, with a written notice period or payment of rent in lieu thereof.",DC
term.down_payment,Down Payment,Other,A portion of the total purchase price paid upfront to secure a property purchase.,DP
term.en_bloc_sale,En-bloc Sale,Process,"Collective sales of separate units in a private residential or commercial building, often fetching a higher price than market value.",ES
term.executive_flat,Executive Flat,HDB,"An HDB flat with specific features, including 3 bedrooms.",EF
term.fixtures,Fixtures,Other,"Personal property that has become attached to the property, such as escalators.",
term.fogging,Fogging,Maintenance,Mosquito prevention involving the fogging of areas with pesticides and insecticides for sustained results.,
term.foreclosure,Foreclosure,Process,A legal proceeding where a lender obtains a court-ordered termination of a borrower’s right of redemption of the pledged property due to default.,
term.freehold,Freehold,Tenure,A form of tenure by which an estate is held for life.,
term.funds_payable,Funds Payable,Other,"Deals with various factors related to property rent, including one month advance rent, two/three months security deposit, and stamp duties.",FP
term.goods_and_services_tax_gst,Goods and Services Tax (GST),Other,"A consumption tax levied on the import of goods and services in Singapore, currently at 8% in 2023 and then 9% in 2024. You do have to pay GST for services provided by a property agent.",GST (Goods and Services Tax)|Goods and Services Tax|GST
term.housing_development_board_hdb,Housing & Development Board (HDB),HDB,The public housing authority in Singapore responsible for planning and developing housing estates.,HDB (Housing & Development Board)|Housing & Development Board|HDB
term.heartlands,Heartlands,HDB,"Areas where the majority of Singaporeans, especially the middle and labor classes, reside, often situated in HDB estates.",
