url,term_index,title_page,content
https://www.99.co/singapore/glossary/fiduciaries-and-fiduciary-law-in-singapore/,Fiduciaries and fiduciary law in Singapore,Fiduciaries and fiduciary law in Singapore,"[HEADING-H2] What is a fiduciary in Singapore?
[PARAGRAPH] A fiduciary is a person who has a legal obligation to another person, also known as the beneficiary, due to a relationship built on trust and confidence. This relationship typically involves the following elements:
[HEADING-H2] Who is a fiduciary in Singapore?
[PARAGRAPH] These are the various types of fiduciaries and the individuals to whom they owe fiduciary obligations:
[LIST-ITEM] Trustees have fiduciary duties to the beneficiaries.
[LIST-ITEM] Directors owe fiduciary duties to the company.
[LIST-ITEM] Agents have fiduciary duties to the principal.
[LIST-ITEM] Lawyers have fiduciary duties to their clients.
[LIST-ITEM] High-ranking employees owe fiduciary duties to their employers.
[HEADING-H2] What duties does a fiduciary fulfil?
[PARAGRAPH] Fiduciaries are typically obligated to adhere to the following duties:
[HEADING-H2] What are the exceptions to a fiduciary’s duty in Singapore?
[LIST-ITEM] Generally, the beneficiary to whom the fiduciary owes the duty can waive it. As such, the fiduciary may be released from the duty with the beneficiary’s consent.
[LIST-ITEM] Additionally, in the case of a company-director relationship, the company may ratify certain actions of the director that would otherwise constitute a breach of fiduciary duty.
[HEADING-H2] What happens if a fiduciary fails to fulfil their duty?
[PARAGRAPH] When a fiduciary duty is breached, the beneficiary can take legal action against them. To succeed in a lawsuit, the beneficiary must provide evidence that a fiduciary duty existed, was violated, and resulted in harm.
[PARAGRAPH] The beneficiary may seek monetary compensation for lost profits, income, or property losses.
[PARAGRAPH] In addition to damages, the Singapore Courts offer other remedies for breaching a fiduciary duty, including:
[LIST-ITEM] Cancelling a contract that involved the breach of fiduciary duty.
[LIST-ITEM] Requiring the fiduciary to provide fair compensation to the beneficiary.
[LIST-ITEM] Requiring the fiduciary to account for any profits gained from the breach.
[LIST-ITEM] Transferring ownership of property from the fiduciary to the beneficiary.
[LIST-ITEM] Obtaining court orders to prevent the fiduciary from further breaches."
https://www.99.co/singapore/glossary/understanding-mortgage-in-singapore/,Mortgage in Singapore,Mortgage in Singapore,"[PARAGRAPH] Understanding mortgage in Singapore
[HEADING-H2] What is a mortgage?
[PARAGRAPH] Simply put, a mortgage is a loan you take to purchase land or property. These loans typically span a period of 25 years, though the term can be shorter or longer depending on your preferences and circumstances. The catch is that the loan is ‘secured’ by the value of your home until it’s fully paid off. In other words, if you’re unable to keep up with the repayments, the lender has the legal right to reclaim your home and sell it to recoup their money.
[PARAGRAPH] In the context of Singapore, mortgages are primarily provided by banks, and for HDB flats, the Housing and Development Board (HDB). The nuances such as terms and conditions, interest rates, and repayment schedules can be quite diverse among different mortgage providers.
[HEADING-H2] Factors influencing mortgage and the application process
[PARAGRAPH] A myriad of factors come into play in the mortgage process and in shaping the terms of the mortgage. These include your income and credit history, the value of the property in question, the size of the down payment, and the prevailing market conditions.
[PARAGRAPH] Applying for a mortgage isn’t a spontaneous act—it involves several steps. First off, you’ll need to evaluate your financial standing to determine what you can afford. Then, it’s time to shop around and compare different mortgage options to find the one that resonates with your needs. Once you’ve settled on a mortgage, you’ll need to apply for it. This typically involves providing your financial information and undergoing a credit check.
[HEADING-H2] Comparing mortgage with other real estate terms
[PARAGRAPH] Mortgages are often juxtaposed with other real estate terms such as loans and deeds. While a loan is a generic term for borrowed money, a mortgage refers to a loan specifically earmarked for real estate. Conversely, a deed is a legal document denoting property.
[HEADING-H2] Advantages and disadvantages of mortgage
[PARAGRAPH] The primary advantage of a mortgage is that it empowers individuals to become homeowners without the need to pay the full price upfront. This opens up homeownership to a wider audience who might otherwise be unable to afford it.
[PARAGRAPH] However, mortgages come with their fair share of pitfalls. They represent long-term financial obligations that can become challenging to manage if your financial situation takes a turn for the worse. Moreover, they entail interest payments, which can accumulate into a significant sum over the loan’s lifespan.
[HEADING-H2] Types of mortgages
[PARAGRAPH] Singapore offers a variety of mortgage options. These include fixed-rate mortgages, where the interest rate remains constant for a specified period, and variable-rate mortgages, where the interest rate is subject to change. HDB loans also feature in the mix, but these are exclusive to HDB flats and have terms and conditions that differ from bank loans.
[HEADING-H3] Conclusion
[PARAGRAPH] To wrap it up, securing a mortgage is a profound financial decision that demands careful thought. It’s crucial to fully comprehend the terms of your mortgage and ensure it aligns with your financial roadmap.
[HEADING-H2] What is a mortgage?
[PARAGRAPH] Simply put, a mortgage is a loan you take to purchase land or property. These loans typically span a period of 25 years, though the term can be shorter or longer depending on your preferences and circumstances. The catch is that the loan is ‘secured’ by the value of your home until it’s fully paid off. In other words, if you’re unable to keep up with the repayments, the lender has the legal right to reclaim your home and sell it to recoup their money.
[PARAGRAPH] In the context of Singapore, mortgages are primarily provided by banks, and for HDB flats, the Housing and Development Board (HDB). The nuances such as terms and conditions, interest rates, and repayment schedules can be quite diverse among different mortgage providers.
[HEADING-H2] Factors influencing mortgage and the application process
[PARAGRAPH] A myriad of factors come into play in the mortgage process and in shaping the terms of the mortgage. These include your income and credit history, the value of the property in question, the size of the down payment, and the prevailing market conditions.
[PARAGRAPH] Applying for a mortgage isn’t a spontaneous act—it involves several steps. First off, you’ll need to evaluate your financial standing to determine what you can afford. Then, it’s time to shop around and compare different mortgage options to find the one that resonates with your needs. Once you’ve settled on a mortgage, you’ll need to apply for it. This typically involves providing your financial information and undergoing a credit check.
[HEADING-H2] Comparing mortgage with other real estate terms
[PARAGRAPH] Mortgages are often juxtaposed with other real estate terms such as loans and deeds. While a loan is a generic term for borrowed money, a mortgage refers to a loan specifically earmarked for real estate. Conversely, a deed is a legal document denoting property.
[HEADING-H2] Advantages and disadvantages of mortgage
[PARAGRAPH] The primary advantage of a mortgage is that it empowers individuals to become homeowners without the need to pay the full price upfront. This opens up homeownership to a wider audience who might otherwise be unable to afford it.
[PARAGRAPH] However, mortgages come with their fair share of pitfalls. They represent long-term financial obligations that can become challenging to manage if your financial situation takes a turn for the worse. Moreover, they entail interest payments, which can accumulate into a significant sum over the loan’s lifespan.
[HEADING-H2] Types of mortgages
[PARAGRAPH] Singapore offers a variety of mortgage options. These include fixed-rate mortgages, where the interest rate remains constant for a specified period, and variable-rate mortgages, where the interest rate is subject to change. HDB loans also feature in the mix, but these are exclusive to HDB flats and have terms and conditions that differ from bank loans.
[HEADING-H3] Conclusion
[PARAGRAPH] To wrap it up, securing a mortgage is a profound financial decision that demands careful thought. It’s crucial to fully comprehend the terms of your mortgage and ensure it aligns with your financial roadmap."
https://www.99.co/singapore/glossary/hdb-flat-occupant/,HDB flat occupant,HDB flat occupant,"[HEADING-H2] How to check if you are registered as an occupant in an HDB flat
[PARAGRAPH] Properly registering your name in HDB’s official records is essential if you live in an HDB flat in Singapore. Maintaining clear and legal standing in tenancy matters requires being registered as an occupant. Luckily, HDB provides a straightforward procedure to confirm this via their online platform. Follow these steps to determine if your name has been listed as a registered tenant.
[HEADING-H2] Step 1: Access My HDBPage
[PARAGRAPH] To check your registration status, start by logging into My HDBPage, the online portal offered by the Housing &amp; Development Board. This platform enables both flat owners and tenants to conveniently handle various HDB-related tasks, such as managing tenancy agreements and rental records.
[PARAGRAPH] To log in to My HDBPage, visit the official HDB website (www.hdb.gov.sg) and use your SingPass details. SingPass serves as Singapore’s digital identity system, granting secure access to a range of government services. If you don’t have a SingPass account, you can register for one on the SingPass website. After logging in, you will access personalised information about your HDB transactions and registrations.
[HEADING-H2] Step 2: Navigate to the “Enquiry on Authorised Tenants.”
[PARAGRAPH] After logging into My HDBPage, you’ll want to navigate to the Enquiry on Authorised Tenants section. To do this, click on My Flat > Purchased Flat > Renting Out > Enquiry on Authorised Tenants. This service helps landlords and tenants verify the names of registered occupants in the flat. If you are listed as an allowed tenant, your name should appear in this section.
[HEADING-H2] Step 3: Print confirmation letter
[PARAGRAPH] If your name is on the registered list, you can easily print a confirmation letter directly from the My HDBPage portal. This letter serves as official documentation confirming your registration as a tenant in the HDB flat. This is particularly helpful if you need to provide evidence of your residence to your landlord or for legal reasons.
[HEADING-H2] Step 4: Monitor for updates
[PARAGRAPH] It is important to stay informed about any updates that may affect your tenancy. Any updates to the registered occupants or additional information required by HDB will usually be shown on your My HDBPage account. Consistently monitoring your account will help maintain accurate records.
[HEADING-H3] What to do if you encounter issues
[PARAGRAPH] If your name is not on the approved tenant list or if you experience any other problems, you can reach out to HDB directly for help. They might ask for more documents or clarification to fix any inconsistencies. To prevent any problems with your lease, it’s important that you address these issues quickly.
[HEADING-H3] Conclusion
[PARAGRAPH] Registering your name as a resident in an HDB flat is a simple process through HDB’s online portal. You can easily check your registration status by logging into My HDBPage and going to the Enquiry on Authorised Tenants section. Make sure to regularly check for updates and contact HDB directly if any issues arise.
[PARAGRAPH] By adhering to these instructions, you can effectively manage precise and up-to-date tenancy records, guaranteeing that landlords and tenants full comply with HDB regulations."
https://www.99.co/singapore/glossary/hdb-temporary-extension-of-stay/,HDB Temporary Extension of Stay,HDB Temporary Extension of Stay,"[PARAGRAPH] The Housing & Development Board (HDB) offers a provision known as the Temporary Extension of Stay under certain circumstances. This arrangement permits sellers of HDB flats to remain in their sold property for a short period after the resale completion, facilitating a smoother transition to their next residence.
[HEADING-H2] Purpose of the temporary extension
[PARAGRAPH] As per the HDB website, the HDB Temporary Extension of Stay is granted only to those flat Sellers who need extra time to complete relocation. It is important to note that in such cases, the sellers must have already purchased another property, which must be ready for occupation, i.e. not in the process of construction.
[PARAGRAPH] The HDB also notes that the TEOS is a private agreement between the buyer and sellers of the HDB flat. It is not mediated by the government in any way, and is only given if both parties are in agreement. As such, the legal resale of the HDB flat will still take place as per the normal process and will be considered independent of the extension agreement.
[PARAGRAPH] It’s important to note that this arrangement is only applicable to resale transactions and not to new flat purchases from HDB.
[HEADING-H2] Duration and eligibility
[PARAGRAPH] The extension allows sellers to stay in the flat for up to three months from the date when the resale is legally completed. No further extension hall be given.
[HEADING-H2] Application process
[PARAGRAPH] To apply for a Temporary Extension of Stay, the following steps should be taken:
[HEADING-H3] Important considerations
[LIST-ITEM] No rental income: During the extension period, sellers are not permitted to rent out the flat or any part of it.
[LIST-ITEM] No rental income: During the extension period, sellers are not permitted to rent out the flat or any part of it.
[LIST-ITEM] Buyer’s occupation: Buyers must wait until the extension period concludes before moving into the flat.
[LIST-ITEM] Buyer’s occupation: Buyers must wait until the extension period concludes before moving into the flat.
[LIST-ITEM] Legal documentation: While HDB facilitates the extension, it’s advisable for both parties to document the agreement formally to prevent potential disputes.
[LIST-ITEM] Legal documentation: While HDB facilitates the extension, it’s advisable for both parties to document the agreement formally to prevent potential disputes.
[LIST-ITEM] Termination clause: Both parties should remember to add a termination clause in the agreement. This will specify the steps taken if in case the HDB revokes approval for the TEOS.
[LIST-ITEM] Termination clause: Both parties should remember to add a termination clause in the agreement. This will specify the steps taken if in case the HDB revokes approval for the TEOS."
https://www.99.co/singapore/glossary/income-tax-singapore/,Income tax Singapore,Income tax Singapore,"[HEADING-H2] What is income tax in Singapore?
[PARAGRAPH] Income tax is a tax imposed by governments on the income earned by businesses and individuals within their jurisdiction. Taxpayers must file an annual income tax return to determine the amount of tax they owe.
[PARAGRAPH] Governments collect income taxes as a source of revenue. The funds generated from these taxes are utilised to support public services, fulfil government obligations, and provide goods for the benefit of citizens.
[HEADING-H2] Who pays income tax in Singapore?
[PARAGRAPH] Income tax rates are determined based on an individual’s tax residency status. To be considered a tax resident for a specific Year of Assessment (YA) in Singapore, you must meet one of the following criteria:
[LIST-ITEM] If you are a Singapore Citizen or Singapore Permanent Resident, you will be treated as a tax resident if you reside in Singapore, with the exception of temporary absences.
[LIST-ITEM] If you are a foreigner, you will be considered a tax resident if:
[PARAGRAPH] a. You have stayed or worked in Singapore for at least 183 days in the previous calendar year.
[PARAGRAPH] b. You have worked in Singapore continuously for 3 consecutive years, regardless of whether your stay in Singapore was less than 183 days in the first and/or third years.
[LIST-ITEM] For foreign employees, if you have worked in Singapore for a continuous period that spans 2 calendar years, and your stay is at least 183 days, you will be treated as a tax resident. This condition applies to employees who have entered Singapore but excludes directors of a company, public entertainers, or professionals. This 183-day time frame includes the period immediately before and after your employment, taking into account your physical presence.
[PARAGRAPH] If you do not meet any of the above mentioned conditions, you will be considered a non-resident of Singapore for tax purposes.
[LIST-ITEM] Taxes imposed on employment income for non-residents are charged at a fixed rate of 15% or the higher tax amount determined by the progressive resident tax rates.
[LIST-ITEM] For income derived from director’s fees, consultation fees, and other sources, non-resident individuals are subject to a tax rate of 22%. This tax rate applies to all types of income, including rental income from properties, pension income, and director’s fees, except for employment income and specific types of income subject to reduced withholding rates.
[HEADING-H2] When to pay income tax in Singapore?
[PARAGRAPH] You must file for income tax at the end of the year’s first quarter. The filing period begins on 1 March and ends on 18 April annually.
[PARAGRAPH] This can be done electronically through the IRAS website. The assessment is based on the income you earned in the previous year. For instance, if you are filing in 2023, you will report the income you received or derived in 2022.
[PARAGRAPH] If you prefer to file using a paper form, submit the completed tax form to the IRAS headquarters by 15 April.
[HEADING-H2] How to pay income tax in Singapore?
[PARAGRAPH] Firstly, you should check the amount you owe for income tax by logging into the myTax Portal on the IRAS website and selecting “View Account Summary”.
[PARAGRAPH] Once you have determined the amount, it’s time to make your payment. There are several options available to you:"
https://www.99.co/singapore/glossary/joint-tenancy/,Joint tenancy,Joint tenancy,"[HEADING-H2] What is joint tenancy?
[PARAGRAPH] Joint tenancy refers to a type of property ownership where all co-owners share equal ownership rights to the property, regardless of their individual financial contributions towards purchasing it.
[PARAGRAPH] In the event of one owner’s death, their share in the property automatically transfers to the surviving co-owner(s), regardless of whether they had made a will.
[HEADING-H2] Joint tenancy vs Tenancy-in-common – What’s the difference?
[PARAGRAPH] Tenancy-in-common enables you and your co-owners to have individual ownership stakes in the property in different proportions. Essentially, your home’s ownership is divided into distinct shares by mutual agreement on the percentage of ownership each person has.
[PARAGRAPH] Unlike joint tenancy, there is no automatic transfer of ownership to the surviving co-owner(s) if one co-owner dies. If a co-owner passes away, the remaining co-owners’ individual shares in the property stay the same.
[HEADING-H2] Can joint tenancy be changed to tenancy-in-common?
[PARAGRAPH] It is possible to switch to the other form of ownership. HDB property owners need to inform and receive assistance from HDB, while private property owners will require the assistance of a law firm.
[PARAGRAPH] If you and your co-owner opt to switch ownership from joint tenancy to tenancy-in-common, it can only be done if the property is split exactly down the middle, with each owner holding a 50% share. However, if achieving the equal split involves giving up a portion of your share, you may be required to pay stamp duty fees.
[PARAGRAPH] Similarly, it is also possible to convert tenancy-in-common to joint tenancy, but only if the shares have already been divided equally."
https://www.99.co/singapore/glossary/conquas/,CONQUAS,CONQUAS,"[PARAGRAPH] What is CONQUAS?
[PARAGRAPH] The Construction Quality Assessment System (CONQUAS) is the national standard for evaluating the quality of construction workmanship in building projects.
[PARAGRAPH] The Building and Construction Authority (BCA) has recently implemented a new rating system within the CONQUAS to aid homebuyers in assessing the performance of developers and builders. This rating system takes into account their track record in private residential projects over the past six years.
[PARAGRAPH] Under this updated CONQUAS banding system, developers, builders, and private residential projects are assigned ratings on a scale from Band 1, indicating a very low incidence of major defects, to Band 6, indicating a higher occurrence of major defects.
[PARAGRAPH] CONQUAS has gained widespread recognition and acceptance as a trusted benchmarking tool for quality, extending its reputation beyond Singapore. It is now a registered trademark in several countries, including Malaysia, China, Hong Kong SAR, the United Kingdom, Australia, South Africa, and India.
[PARAGRAPH] Why is CONQUAS used?
[PARAGRAPH] CONQUAS was designed with three primary objectives in mind:
[LIST-ITEM] Establishing a standardised assessment system to evaluate the quality of construction workmanship in building projects.
[LIST-ITEM] Ensuring objectivity during the assessment process by comparing the constructed works against predetermined workmanship standards and specifications. This is achieved through a sampling approach that effectively represents the entire project.
[LIST-ITEM] Enabling systematic and cost-effective assessment of construction workmanship quality within a reasonable timeframe.
[PARAGRAPH] How are CONQUAS bands determined?
[PARAGRAPH] The assessment process consists of three key components:
[LIST-ITEM] Internal finishes: This component focuses on architectural finishes such as floors, internal walls, ceilings, doors, windows, and related components. It also considers basic Mechanical & Electrical (M&E) fittings.
[LIST-ITEM] Installation methods verification and functional tests: This part concentrates on four specific trades: waterproofing works in bathrooms/toilets, stone/tiling installation works, timber floor installation, and window installation. The assessment involves verifying the installation methods and conducting functional tests.
[LIST-ITEM] External finishes: This component evaluates the quality of roofs, external walls, and external works during the completion stage of the building.
[PARAGRAPH] The information provided was accurate at the time of publication. For the latest changes and updates, head over to the official websites."
https://www.99.co/singapore/glossary/hdb-fire-insurance-scheme/,HDB Fire Insurance Scheme,,
https://www.99.co/singapore/glossary/buyers-stamp-duty-bsd/,Buyer’s Stamp Duty (BSD),Buyer’s Stamp Duty (BSD),"[HEADING-H2] What is Buyer’s Stamp Duty (BSD)?
[PARAGRAPH] The Buyer’s Stamp Duty (BSD), a tax on legal documents related to acquiring or leasing real estate, applies to all real estate purchases in Singapore, including those of HDB flats. The tax only applies to the buyer.
[PARAGRAPH] The amount of BSD payable is determined by whichever is higher: the property’s purchase price as stated in the signed sale and purchase agreement or the property’s market value as determined by appraisal reports.
[PARAGRAPH] Even if the buyer can negotiate a lower purchase price, the BSD rate will still be based on the higher of the two amounts.
[PARAGRAPH] For instance, if you negotiate a S$1.7 million apartment down to S$1.5 million, the larger of the two amounts will still be used to determine your BSD rate.
[PARAGRAPH] It is illegal to utilise a document that hasn’t had its stamp duties paid. Only documents with paid stamp duties will be considered valid evidence in a property dispute that goes to court.
[PARAGRAPH] As a result, all potential buyers should budget for the buyer’s stamp duty and, if applicable, Additional Buyer’s Stamp Duty (ABSD).
[HEADING-H2] How much is Buyer’s Stamp Duty (BSD) in Singapore?
[PARAGRAPH] The amount of BSD tax imposed on a property is determined by its cost or market value.
[PARAGRAPH] Higher-valued homes will have a greater BSD tax, while lower-valued homes will have a lower BSD tax. The rates at which residential and non-residential properties are taxed under BSD differ slightly.
[PARAGRAPH] Residential property purchases are subject to a maximum BSD rate of 6%, while non-residential property purchases are subject to a maximum BSD rate of 5%. This change was made in Budget 2023 and will be effective immediately for any properties purchased on or after February 15th, 2023.
[HEADING-H2] When should I pay the Buyer’s Stamp Duty (BSD) and Additional Buyer’s Stamp Duty (ABSD)?
[PARAGRAPH] Both BSD and ABSD must be paid within 14 days of the execution of the Contract or Agreement. Only after you have paid the stamp duty in full will the property acquisition documents be considered properly stamped.
[HEADING-H2] Can I use CPF to pay for the Buyer’s Stamp Duty (BSD) and Additional Buyer’s Stamp Duty (ABSD)?
[PARAGRAPH] You can seek a one-time reimbursement from our CPF account when you apply to use CPF funds to buy the property. You can use CPF funds to pay for your BSD and ABSD."
https://www.99.co/singapore/glossary/rental-income-tax-in-singapore/,Rental income tax in Singapore,Rental income tax in Singapore,"[HEADING-H2] What is rental income tax in Singapore?
[PARAGRAPH] Rental income refers to the total sum of rent and associated payments when leasing a property. This includes rent as well as maintenance, furniture, and fittings charges
[PARAGRAPH] Rental income tax is the tax on the income earned from renting a property. It applies to individuals or businesses receiving rental payments from tenants.
[HEADING-H2] How is rental income tax charged in Singapore?
[PARAGRAPH] If your tenant is responsible for e-Stamping the rental agreement, you can request a copy of the stamp certificate from them to ensure compliance.
[PARAGRAPH] It is important to note that failure to comply with these tax obligations may result in penalties, including a fine of more than S$5,000 and potential interest on the tax owed.
[HEADING-H2] How to calculate rental income tax in Singapore?
[PARAGRAPH] Calculating rental tax income in Singapore involves deducting allowable expenses, such as mortgage interest and deemed expenses, from the gross rent.
[PARAGRAPH] You can claim a 15% deemed rental expense deduction in addition to mortgage interest, which is typically pre-filled in your income tax form. Alternatively, you can claim the actual amount of rental expenses incurred.
[PARAGRAPH] However, the deemed expenses option is not applicable if:
[LIST-ITEM] You do not have any deductible expenses other than mortgage interest, related to the rental income earned.
[LIST-ITEM] The rental income was earned through a partnership in Singapore
[LIST-ITEM] The rental income was earned from a property held under a trust.
[HEADING-H2] How does higher rent affect the rental income tax in Singapore?
[PARAGRAPH] If the rent on an existing tenancy agreement increases, there is no need to update IRAS separately for property tax purposes if the relevant documents have been e-stamped through the e-Stamping Portal within 15 days after the increase.
[PARAGRAPH] It’s important to keep in mind that failure to comply with this requirement may result in penalties, including a fine of more than S$5,000 and potential interest on the tax owed."
